Field,ID,RA,DEC,X,Y,FWHM,FWHM_n,ISOarea,KRON_RADIUS,MU_MAX_INST,PETRO_RADIUS,SEX_FLAGS_DET,SEX_NUMBER_DET,CLASS_STAR,s2n_DET_PStotal,THETA,ELLIPTICITY,ELONGATION,FLUX_RADIUS_20,FLUX_RADIUS_50,FLUX_RADIUS_70,FLUX_RADIUS_90,s2n_r_PStotal,s2n_J0660_PStotal,s2n_i_PStotal,FWHM_r,FWHM_n_r,FWHM_J0660,FWHM_n_J0660,FWHM_i,FWHM_n_i,SEX_FLAGS_r,SEX_FLAGS_J0660,SEX_FLAGS_i,CLASS_STAR_r,CLASS_STAR_J0660,CLASS_STAR_i,r_PStotal,e_r_PStotal,g_PStotal,e_g_PStotal,i_PStotal,e_i_PStotal,u_PStotal,e_u_PStotal,z_PStotal,e_z_PStotal,J0378_PStotal,e_J0378_PStotal,J0395_PStotal,e_J0395_PStotal,J0410_PStotal,e_J0410_PStotal,J0430_PStotal,e_J0430_PStotal,J0515_PStotal,e_J0515_PStotal,J0660_PStotal,e_J0660_PStotal,J0861_PStotal,e_J0861_PStotal,r_psf,e_r_psf,g_psf,e_g_psf,i_psf,e_i_psf,u_psf,e_u_psf,z_psf,e_z_psf,J0378_psf,e_J0378_psf,J0395_psf,e_J0395_psf,J0410_psf,e_J0410_psf,J0430_psf,e_J0430_psf,J0515_psf,e_J0515_psf,J0660_psf,e_J0660_psf,J0861_psf,e_J0861_psf
b'HYDRA-0160',b'iDR4_3_HYDRA-0160_0079473',149.91588436856304,-47.45762828475242,6631.4473,4342.4624,0.00043596962,0.97499996,4.0613427e-06,3.569269,15.456387,6.5999994,3,79473,0.92322546,-1.0,62.348454,0.17487633,1.2119396,1.2537267,2.8755136,4.8796725,7.3197093,97.46057,112.221054,141.10994,0.0005037589,1.0238068,0.00046069254,1.0013933,0.00038560314,1.0141739,3,3,3,1,1.0,1,17.490307,0.01147743,18.6893,0.033235207,16.855663,0.0077194385,20.36432,0.19242197,16.461311,0.008688941,20.65815,0.3619319,20.136946,0.35296056,19.829103,0.20739461,19.770464,0.19903196,18.622377,0.0624918,17.099388,0.0099678,16.490227,0.010548902,17.305614,0.022,17.889658,0.029,17.060028,0.024,19.30896,0.084,16.972878,0.029,18.78504,0.062,18.89404,0.105,18.336489,0.073,18.346079,0.071,17.704659,0.039,17.251616,0.024,17.031878,0.032
b'HYDRA-0160',b'iDR4_3_HYDRA-0160_0095240',150.3094948237071,-47.34857561091043,4888.206,5057.581,0.00042350029,0.94711363,2.3574462e-06,4.2933455,15.466965,3.3,3,95240,0.9706668,-1.0,68.90841,0.13200909,1.1520858,1.0705343,2.1275508,3.3539577,6.554204,112.3947,132.69423,127.056175,0.00050401303,1.0243232,0.0011771088,2.5586457,0.00036917746,0.9709727,3,3,3,1,1.0,1,17.27513,0.010049265,17.933277,0.018929482,17.030073,0.008567064,19.438715,0.09321333,16.886307,0.011719497,18.968256,0.08802782,18.691692,0.10699377,18.425362,0.06536572,18.339533,0.06137383,17.757278,0.033159584,16.838062,0.008511931,16.95719,0.014251942,17.297358,0.018,17.950964,0.035,17.024422,0.02,19.644886,0.107,16.8799,0.027,,,18.844967,0.116,18.548794,0.079,18.451384,0.075,17.803965,0.043,17.046358,0.057,16.9699,0.027
b'HYDRA-0160',b'iDR4_3_HYDRA-0160_0118321',151.11696552469996,-47.179926939178856,1293.7892,6136.5454,0.00043626715,0.97566533,1.6572146e-06,3.6977937,15.612143,4.62,2,118321,0.9789571,-1.0,-84.065994,0.05561012,1.0588847,0.9655544,1.8510687,2.6610053,4.4797873,93.58811,96.1298,105.78415,0.0005027978,1.0218534,0.00045808704,0.99572986,0.00037415072,0.9840529,2,2,2,1,1.0,1,17.434156,0.010939216,17.877975,0.017722543,17.24541,0.009738442,19.077337,0.065560184,17.20529,0.01468147,18.574722,0.060775142,18.456314,0.08404369,18.2094,0.054535706,17.971056,0.045240834,17.592525,0.02838362,17.263813,0.010649982,17.200258,0.016871471,17.400698,0.021,17.875435,0.031,17.21532,0.019,19.087688,0.066,17.164211,0.031,18.54777,0.06,18.52677,0.097,18.236265,0.067,18.009855,0.058,17.636435,0.039,17.253698,0.031,17.19521,0.031
b'HYDRA-0160',b'iDR4_3_HYDRA-0160_0120052',150.69884626483406,-47.17248714733016,3153.7083,6202.7817,0.00045689853,1.0218053,3.1043596e-06,3.605494,14.677693,3.9599998,3,120052,0.98260415,-1.0,-55.42947,0.10963678,1.1231371,1.0110877,1.936964,2.8303053,4.8599324,183.88281,183.85782,202.55667,0.00051562826,1.0479293,0.00034134398,0.74196905,0.00037717528,0.9920078,3,3,3,1,1.0,1,16.427439,0.0059548263,16.824057,0.008924719,16.281107,0.0053427424,17.96816,0.030540701,16.227373,0.007355367,17.491987,0.029343944,17.28341,0.036729682,17.059723,0.024334958,16.96348,0.022761196,16.654446,0.015640747,16.200747,0.0059556356,16.251926,0.0090497965,16.421194,0.015,16.832329,0.017,16.271568,0.016,18.013857,0.035,16.205252,0.021,17.547935,0.034,17.372936,0.046,17.128159,0.033,17.007748,0.026,16.673328,0.02,16.273195,0.032,16.267252,0.018
b'HYDRA-0160',b'iDR4_3_HYDRA-0160_0196001',150.68457758244747,-46.577906239725,3191.5886,10095.226,0.0004484641,1.0029426,2.2407407e-06,3.5168867,15.016889,4.62,0,196001,0.98241377,-1.0,-62.09266,0.0644775,1.0689214,0.9907116,1.8675007,2.7140348,4.485126,139.45012,150.91556,183.95209,0.00049558014,1.0071847,0.00054276345,1.1797884,0.00040846044,1.0742908,0,0,0,1,1.0,1,16.828743,0.008023534,17.79523,0.01816647,16.401129,0.0061169085,20.441187,0.2035656,16.247564,0.0076017757,19.787405,0.1626825,19.514463,0.19721489,18.759548,0.09310749,18.442884,0.07182731,17.767267,0.034838833,16.564754,0.007413966,16.295542,0.009481699,16.81465,0.018,17.80461,0.03,16.41304,0.023,,,16.23458,0.021,,,,,18.854439,0.113,18.545029,0.083,17.84461,0.047,16.653477,0.04,16.286192,0.031
b'HYDRA-0161',b'iDR4_3_HYDRA-0161_0015872',152.31108182738458,-47.88140405590686,5138.2734,1570.1819,0.00038242727,0.88238,1.9139661e-06,3.4446647,15.357989,3.9599998,3,15872,0.98246115,-1.0,83.09893,0.09726137,1.1077403,0.8933351,1.7102406,2.524655,4.246311,123.56534,111.25056,115.288246,0.00039403673,0.8642625,0.0005657964,1.2069778,0.000368636,0.9165314,3,3,3,1,1.0,1,17.310268,0.008659531,17.753845,0.011981335,17.204735,0.009192039,18.862392,0.036923293,17.143787,0.013184938,18.43979,0.04145268,18.345592,0.058132045,17.91207,0.03551087,17.840479,0.0322988,17.556877,0.021596998,17.160036,0.00961809,17.168777,0.016561989,16.79172,0.015,17.412502,0.015,16.565962,0.017,18.87079,0.042,16.43404,0.02,18.58695,0.04,18.31295,0.059,17.888842,0.032,17.781012,0.031,17.216501,0.019,16.740719,0.02,16.484041,0.024
b'HYDRA-0161',b'iDR4_3_HYDRA-0161_0019958',151.6321784306882,-47.85280626131407,8120.1514,1747.4714,0.00038786264,0.8949211,1.5405093e-06,3.6894288,15.48509,3.9599998,0,19958,0.98789203,-1.0,57.924786,0.027880847,1.0286806,0.87897927,1.6381408,2.3504264,3.9300385,118.27042,116.76499,110.27828,0.00038714867,0.84915453,0.0010776443,2.2988708,0.0003557876,0.88458663,0,0,0,1,1.0,1,17.384895,0.009074586,17.787073,0.012332979,17.266655,0.009790098,18.978903,0.040502496,17.23204,0.01420422,18.540995,0.0452948,18.277357,0.05558599,18.081934,0.04014752,18.014914,0.036571078,17.64546,0.02316059,17.083313,0.009191583,17.255049,0.017771013,17.409079,0.021,17.793394,0.019,17.27486,0.023,19.004955,0.044,17.230316,0.029,18.556116,0.045,18.291115,0.052,18.130733,0.043,18.070904,0.04,17.678394,0.031,17.233078,0.051,17.269316,0.041
b'HYDRA-0161',b'iDR4_3_HYDRA-0161_0051934',152.49704014721374,-47.63662526430444,4316.3867,3170.628,0.000396874,0.91571313,1.7972609e-06,3.5744116,15.088918,3.9599998,3,51934,0.98285925,-1.0,23.352667,0.050247967,1.0529064,0.8906037,1.718409,2.4839942,4.2341623,122.156425,120.01907,122.98848,0.00042659978,0.93568486,0.0003929434,0.8382414,0.00036953425,0.9187646,3,3,3,1,1.0,1,16.945621,0.009011799,17.709839,0.015042117,16.665205,0.0087902695,19.581146,0.09047053,16.495731,0.010310854,19.342196,0.08749469,19.131725,0.11426225,18.480377,0.054748304,18.40531,0.049080785,17.578169,0.023145214,16.739866,0.009172284,16.543348,0.013163479,16.970297,0.015,17.703386,0.021,16.663124,0.019,19.587809,0.084,16.510849,0.028,19.476969,0.092,19.13897,0.109,18.554726,0.065,18.442896,0.055,17.601385,0.029,16.781298,0.023,16.54785,0.029
b'HYDRA-0161',b'iDR4_3_HYDRA-0161_0123572',153.15477460672477,-47.09622905328177,1373.2998,6685.415,0.00043007534,0.99231905,2.4508104e-06,3.5461373,14.959375,3.3,2,123572,0.98302823,-1.0,-86.36251,0.04238534,1.0442613,0.93991476,1.771082,2.5033233,4.311797,166.6896,167.40334,181.16916,0.0004527554,0.99305344,0.00039907717,0.8513262,0.00040750898,1.0131804,2,2,2,1,,1,16.713676,0.0062072505,17.317652,0.00940667,16.474964,0.0057664914,18.829039,0.039668147,16.363728,0.0075061554,18.422716,0.04424712,18.276844,0.06108754,17.763397,0.033078417,17.73112,0.030594073,17.085812,0.016484484,16.418705,0.006180785,16.389048,0.009804855,16.691948,0.016,17.29817,0.013,16.439713,0.016,18.879036,0.046,16.345678,0.019,18.469196,0.049,18.367197,0.066,17.789509,0.034,17.77268,0.036,17.09317,0.019,,,16.375679,0.024
b'HYDRA-0161',b'iDR4_3_HYDRA-0161_0139821',151.31088957464155,-46.97222498241566,9599.278,7497.533,0.00042504596,0.9807147,2.1240355e-06,3.9393475,15.558809,3.9599998,3,139821,0.98326164,-1.0,3.465153,0.027246058,1.0280092,0.9869607,1.8830173,2.7811978,4.818696,112.99462,117.04335,150.34192,0.00046588463,1.0218505,0.0020116437,4.291313,0.00041323854,1.0274256,3,3,3,1,1.0,1,17.453823,0.009449638,18.638252,0.020994646,16.825258,0.0074172444,21.040472,0.21694188,16.504642,0.008365421,21.32445,0.44441882,20.572857,0.36868453,19.7482,0.13981088,19.775381,0.13700718,18.572817,0.042289056,17.06357,0.009122759,16.605497,0.011395027,17.452866,0.024,18.666351,0.03,16.828304,0.022,,,16.517162,0.026,,,,,,,,,18.62335,0.045,17.151867,0.056,16.579163,0.039
b'HYDRA-0161',b'iDR4_3_HYDRA-0161_0169397',152.9737444755736,-46.74061142676705,2157.7537,9021.799,0.00046107228,1.0638387,1.7739198e-06,3.9336975,15.638864,3.9599998,0,169397,0.9823905,-1.0,-40.48636,0.07533002,1.0814669,1.0011199,1.839626,2.6074724,4.4561796,113.87272,112.08376,125.330086,0.00049511954,1.085973,0.0018063476,3.8533678,0.00042246547,1.0503663,0,0,0,1,1.0,1,17.381771,0.009211402,17.978992,0.013852857,17.092592,0.008588391,19.371603,0.0591366,16.963161,0.011610766,18.803999,0.05866923,18.740189,0.083244085,18.30164,0.047140867,18.27862,0.04405859,17.760624,0.024689449,17.105862,0.009358425,16.976835,0.014623664,17.364525,0.026,17.962872,0.021,17.072498,0.022,19.44,0.069,16.95622,0.03,18.81916,0.065,18.79216,0.083,18.317211,0.053,18.299381,0.038,17.786871,0.029,17.191526,0.055,16.99622,0.038
